text,item
I'll do everything myself.,1
I'm asking him why he didn't make it.,1
I'm doing sports.,1
I'm delaying the schedule.,1
I'm watching a show.,1
I'll talk to another friend about it.,1
I despise the colleague and pay him back.,1
I'll put the blame on him.,1
I'll just let the information go.,1
Confronting colleague,1
Get information yourself,1
other colleagues ask to obtain information,1
Ignore problem and blame colleagues if task has not been done,1
Resetting schedule,1
Threaten colleague with punishment,1
Communicate to the other person,1
"Drain steam: - Sport, writing, or... go hobbies",1
Distraction: Watch the movie,1
a person you trust to tell,1
Write a diary,1
Walk in the forest (nature),1
Perspectives change: how bad will I get it in 2-3 months,1
Helping Colleagues,1
Distract,1
Searching for information yourself,1
Core training,1
I find solutions independent of this colleague.,1
I'll tell him what's going on and how I feel.,1
I'm going to blow up my ager.,1
I change future plans so that they can work without these colleagues.,1
Provide Help,1
Start earlier,1
Make breathing exercises,1
Keep in touch > ask for point of view,1
Talk to him about what it failed to do,1
Preparing,1
Take with humor,1
There are worse things,1
Analyze situation > can also happen to me,1
"I can help him with his task, which leads to the said information.",1
I can explain the situation to my boss.,1
I can change my schedule a little bit.,1
I can do another job instead.,1
I'm going to the fresh air to get down.,1
I'm going to the gym to let the bug out.,1
Helping the Colleague,1
Research yourself,1
Take a break & continue later,1
Communicating Constructive Criticism to Colleagues,1
If he's always too late to work with jmd,1
Advising colleagues on how to work more productively,1
Doing things for which you usually have too little free time,1
I research the right information for myself,1
I'm taking on a different schedule,1
I relax and tell myself that everything can't always work,1
I continue working with another colleague on the project,1
I'll let the colleague know how upset I am,1
I pray my colleagues that it should be better organized in the future,1
"Stay calm, anger won't get me anywhere",1
Trying to get the info yourself,1
"Questions why not, could give plausible reasons (have)",1
"Explain that he should start the next time, or have to think of others.",1
plan for the next time not to make you dependent on this colleague,1
go into me & think if I have managed to pass on the information in time (if I have been in the situation of my colleague),1
"don't forget: now it's happened, now you can't change anything",1
Make it clear to the colleague that he broke my schedule by his lack of reliability,1
Talk to the colleague and ask him to do better next time.,1
Smoking a cigarette and reacting.,1
Talk to the boss and explain the situation,1
Ask colleagues to take the blame if problems arise,1
I'm helping him,1
I put it under time pressure,1
I'm trying to understand why he's not done,1
I react by sport or similar.,1
"I'm looking for a conversation with him, trying to take the pressure out",1
I'm talking to the boss,1
I'll talk to other colleagues about it.,1
I'll explain to the boss that it's not my fault,1
Create a new plan for myself,1
Accept the situation as it is,1
The situation of colleagues trying to understand,1
Search for alternatives,1
Do breathing exercises,1
"Thinking about something else in the short term, better, better",1
"Other good qualities of the colleague ""listen""",1
Dealing with other things,1
Walk,1
I remember that I also often provide information too late,1
I ask you for help to get ready in time,1
I'm taking a walk in nature,1
I intend to make them more aware of the importance of punctuality in the future,1
I get upset with a friend,1
Sit back because the responsibility has been given.,1
Stressing colleagues to reduce pressure,1
Find out the important information for yourself,1
Project anger and anger into music,1
tell him not to do it again,1
I'm upset about him,1
"annoy me, but don't tell him anything",1
"try, as well as you can, to finish everything by yourself",1
try to calm me down,1
I'm trying to get it myself,1
I'm asking another colleague.,1
I'm thinking about whether this information is really so important,1
I'm taking a short break,1
I'm going for a walk,1
I meet with friends and ask them for their opinion,1
I'm trying to relax.,1
you can distract yourself until the information is there,1
"you can change the schedule, break earlier etc.",1
Crying Out Anger,1
Chief say you no longer have the pressure to be guilty for him,1
Helping Colleagues,1
Trying to get information yourself,1
make it clear to the colleague that this is not possible,1
Start with another thing,1
accept that the timetable cannot be met,1
Seek Distraction,1
Read the book,1
move into the situation of the,1
A *** consider how this cannot happen in the future.,1
Reflect on the choice of the colleague.,1
Ask yourself why you are dependent on a person.,1
Doing something else that brings me forward,1
Sniffing through,1
Have a drink,1
Do Other Tasks,1
Going to a fresh air,1
Ask your colleague again about the info,1
Helping the colleague at work,1
Ask another colleague for help.,1
Focus on steps that just have to wait for best result,1
Request for help with teammates compensation,1
Take care of information yourself (if possible),1
Use time to make preparations (this or other projects),1
Use the values Time for error control or ***,1
Now I know it's not so reliable > I learn from mistakes,1
I'm getting more flexible about my schedule,1
I can certainly still adjust my schedule (deadline shift),1
Under stress I can work better,1
I'm telling my colleague that in the future I'm going to,1
Asking colleagues to deliver as soon as possible,1
Sport as a distraction,1
Complaining to Friends,1
Make it yourself (gathering information),1
Cook food,1
Call and complain colleagues,1
Restructure the schedule,1
Addressing Him,1
Require next time faster,1
Excite with friends about it,1
Sport Make Power,1
try to fix it with loud music,1
Provide superior notification,1
Conscious of being angry with him,1
try to create understanding,1
to try to understand his side,1
realistically think about it (not subjectively),1
Remember & if the same situation again results from the beginning remind the colleague to provide the information,1
Putting the blame on the colleague,1
Ask for reason for lack of information,1
Trying to restructure the schedule for both of us in the future,1
Ask colleagues to pay more attention to having everything ready in the future,1
I am addressing my fellow Members to the problem that has arisen.,1
I work more to keep the schedule,1
I will not rely on my colleague in the future.,1
I turn to the boss,1
I'll talk to friends about it,1
I'm talking to the colleague,1
"If the colleague doesn't want to hear, I'll go to the boss",1
I help my colleague to provide the important information as soon as possible,1
I am looking with my colleague for ideas on how this can no longer happen in the future,1
Discuss the Problem,1
Reclassify time management,1
Confronting the Colleagues,1
Continue working on other things first,1
Talk to other colleagues,1
discuss with the boss problem,1
Getting information yourself,1
Tell the colleague that I am angry,1
try to change the schedule to save the task,1
